SampleID,Pond,DP,Day,Position,Replicate,Astatotilapia_calliptera,Abramis_brama,Alburnus_alburnus,Barbus_barbus,Blicca_bjoerkna,Carassius_auratus,Carassius_carassius,Hypophthalmichthys_molitrix,Leuciscus_idus,Leuciscus_leuciscus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,unassigned
E4_D0_P5_1,E4,D0P5,D0,P5,1,45,317,12,237,0,0,111,0,0,0,825,0,2675,0,2881
E4_D0_P5_2,E4,D0P5,D0,P5,2,69,59,3,193,0,0,0,0,0,0,1165,0,5012,0,4272
E4_D0_P5_3,E4,D0P5,D0,P5,3,83,535,17,673,3,0,123,0,0,0,3900,0,9795,3,6798
E4_D0_Pos2,E4,D0Ctrl,D0,Ctrl,POS2,24616,0,0,0,0,0,0,0,0,0,3,0,19,0,246091
E4_D02_Blank2,E4,D2Ctrl,D2,Ctrl,BLANK2,0,0,0,0,0,0,6,0,0,3,7,0,5,0,592
E4_D02_Neg2,E4,D2Ctrl,D2,Ctrl,NEG2,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3
E4_D02_P1_1,E4,D2P1,D2,P1,1,0,268,17,102,0,6,13823,0,109,3169,3246,813,2008,0,14388
E4_D02_P1_2,E4,D2P1,D2,P1,2,0,20,24,279,0,11,22725,0,292,7930,4751,2009,4536,26,22745
E4_D02_P1_3,E4,D2P1,D2,P1,3,0,7,19,244,0,3,12971,0,11,4406,3052,643,3354,3,11683
E4_D02_P2_1,E4,D2P2,D2,P2,1,0,657,52,119,0,0,1724,0,0,16,12585,8,9317,0,20303
E4_D02_P2_2,E4,D2P2,D2,P2,2,0,433,46,1428,0,0,2198,0,0,11,7477,0,6837,0,13373
E4_D02_P2_3,E4,D2P2,D2,P2,3,0,544,30,1833,0,5,2544,0,0,11,9293,6,9218,149,17516
E4_D02_P3_1,E4,D2P3,D2,P3,1,0,3,22,61,0,0,1512,0,0,7,4889,0,4937,184,11261
E4_D02_P3_2,E4,D2P3,D2,P3,2,0,574,26,2397,0,0,1553,0,0,20,6526,0,6008,3,9822
E4_D02_P3_3,E4,D2P3,D2,P3,3,0,3,42,2139,0,0,1521,0,0,14,6689,0,5935,126,12134
E4_D02_P4_1,E4,D2P4,D2,P4,1,0,679,19,7158,0,0,5,0,0,0,3166,0,8650,0,13578
E4_D02_P4_2,E4,D2P4,D2,P4,2,0,4,0,6351,0,0,5,0,0,0,1266,0,5989,0,9278
E4_D02_P4_3,E4,D2P4,D2,P4,3,0,501,22,7060,0,0,1626,0,0,0,6893,0,13700,286,23163
E4_D02_P5_1,E4,D2P5,D2,P5,1,0,133,23,7158,0,0,1186,0,0,0,3363,0,7964,0,12375
E4_D02_P5_2,E4,D2P5,D2,P5,2,0,0,11,2592,0,0,1261,0,0,9,1785,0,4858,264,6233
E4_D02_P5_3,E4,D2P5,D2,P5,3,0,255,16,9633,0,0,1603,0,0,3,3965,3,8378,417,13687
E4_D02_Pos2,E4,D2Ctrl,D2,Ctrl,POS2,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0
E4_D04_Blank2,E4,D4Ctrl,D4,Ctrl,BLANK2,109,0,0,0,0,0,3,0,0,0,6,0,4,0,10
E4_D04_Neg2,E4,D4Ctrl,D4,Ctrl,NEG2,29,0,0,0,0,0,0,0,0,0,8,0,9,0,0
E4_D04_P1_1,E4,D4P1,D4,P1,1,0,36,6,136,0,0,1449,0,32,462,571,184,1130,0,2397
E4_D04_P1_2,E4,D4P1,D4,P1,2,0,235,5,406,0,3,2543,0,90,1048,1439,325,1579,0,3281
E4_D04_P1_3,E4,D4P1,D4,P1,3,0,248,11,680,0,3,3765,0,124,1265,2896,558,3616,0,7353
E4_D04_P2_1,E4,D4P2,D4,P2,1,0,360,24,735,0,0,482,0,0,0,3408,0,2566,175,6468
E4_D04_P2_2,E4,D4P2,D4,P2,2,0,176,21,713,0,0,573,0,0,3,3161,0,1689,0,4651
E4_D04_P2_3,E4,D4P2,D4,P2,3,0,256,21,647,0,0,705,0,0,3,2912,0,3200,0,5215
E4_D04_P3_1,E4,D4P3,D4,P3,1,0,163,13,494,0,0,402,0,0,25,1901,0,2172,28,3526
E4_D04_P3_2,E4,D4P3,D4,P3,2,0,363,12,870,0,0,373,0,0,0,1980,0,2747,126,4148
E4_D04_P3_3,E4,D4P3,D4,P3,3,0,283,7,205,0,0,598,0,0,0,2800,3,4407,0,6798
E4_D04_P4_1,E4,D4P4,D4,P4,1,0,103,7,1645,0,0,338,0,0,0,1520,0,2832,74,4871
E4_D04_P4_2,E4,D4P4,D4,P4,2,0,10,7,853,0,0,900,0,0,0,1448,0,2880,86,4502
E4_D04_P4_3,E4,D4P4,D4,P4,3,0,223,8,648,0,0,509,0,0,0,1179,0,3102,273,4886
E4_D04_P5_1,E4,D4P5,D4,P5,1,11,58,5,490,0,0,127,0,0,0,601,0,1261,0,1534
E4_D04_P5_2,E4,D4P5,D4,P5,2,18,227,4,19,0,0,541,0,0,55,1854,0,2513,0,3768
E4_D04_P5_3,E4,D4P5,D4,P5,3,24,194,11,645,0,0,552,0,0,0,1448,0,3053,0,3439
E4_D04_Pos2,E4,D4Ctrl,D4,Ctrl,POS2,2537,0,0,3,0,0,0,0,0,0,4,0,0,0,76828
E4_D06_Blank2,E4,D6Ctrl,D6,Ctrl,BLANK2,113,0,0,0,0,0,8,0,0,0,11,0,8,0,77
E4_D06_Neg2,E4,D6Ctrl,D6,Ctrl,NEG2,63,0,0,0,0,0,0,0,0,0,3,0,8,0,20
E4_D06_P1_1,E4,D6P1,D6,P1,1,0,140,9,657,0,0,1014,0,0,0,2390,0,1996,111,4837
E4_D06_P1_2,E4,D6P1,D6,P1,2,0,384,33,395,0,0,1010,0,0,8,4994,0,3967,117,7461
E4_D06_P1_3,E4,D6P1,D6,P1,3,0,168,23,554,0,0,926,0,0,91,4111,0,3479,0,7302
E4_D06_P2_1,E4,D6P2,D6,P2,1,0,215,14,1064,0,0,3181,0,104,1081,4536,90,4503,67,13177
E4_D06_P2_2,E4,D6P2,D6,P2,2,0,212,38,838,0,0,1531,0,26,827,5029,0,4159,0,11064
E4_D06_P2_3,E4,D6P2,D6,P2,3,0,125,26,461,0,0,1501,0,61,166,2440,68,1918,17,6775
E4_D06_P3_1,E4,D6P3,D6,P3,1,0,354,6,522,0,0,356,0,0,0,1620,0,1506,60,3615
E4_D06_P3_2,E4,D6P3,D6,P3,2,0,318,25,862,0,0,660,0,0,0,3247,0,2758,63,5197
E4_D06_P3_3,E4,D6P3,D6,P3,3,0,24,18,116,0,0,125,0,0,0,1531,69,961,0,3087
E4_D06_P4_1,E4,D6P4,D6,P4,1,0,457,13,1517,0,0,885,0,0,0,3272,0,2749,0,22709
E4_D06_P4_2,E4,D6P4,D6,P4,2,0,56,7,686,0,0,909,0,0,68,2752,0,2260,33,5263
E4_D06_P4_3,E4,D6P4,D6,P4,3,0,113,4,513,0,0,412,0,0,15,1209,0,908,0,2937
E4_D06_P5_1,E4,D6P5,D6,P5,1,23,222,3,257,0,0,277,0,0,0,1218,0,1706,14,2741
E4_D06_P5_2,E4,D6P5,D6,P5,2,25,293,12,1464,0,0,193,0,0,68,3070,0,2480,0,4844
E4_D06_P5_3,E4,D6P5,D6,P5,3,25,227,26,2059,0,0,878,0,0,0,3893,99,3479,0,7356
E4_D06_Pos2,E4,D6Ctrl,D6,Ctrl,POS2,3369,0,0,0,0,0,0,0,0,0,4,0,0,0,105427
E4_D08_Blank2,E4,D8Ctrl,D8,Ctrl,BLANK2,88,3,0,3,0,0,4,0,0,0,14,0,12,3,209
E4_D08_Neg2,E4,D8Ctrl,D8,Ctrl,NEG2,97,0,0,0,0,0,0,0,0,0,5,0,3,0,18
E4_D08_P1_1,E4,D8P1,D8,P1,1,0,360,38,1052,0,0,4314,0,0,960,5920,187,4240,262,12827
E4_D08_P1_2,E4,D8P1,D8,P1,2,0,812,29,1936,0,5,6976,0,3,487,9501,442,6404,181,16411
E4_D08_P1_3,E4,D8P1,D8,P1,3,0,383,55,1164,0,5,5871,0,4,453,9633,161,3038,161,10196
E4_D08_P2_1,E4,D8P2,D8,P2,1,0,225,25,777,0,0,2035,0,0,0,5494,0,6180,0,12883
